28.2403 	EXP 	PLUS_FP: autoDraw = True
28.2403 	EXP 	Photodiode_plus: autoDraw = True
28.4398 	EXP 	Photodiode_plus: autoDraw = False
30.2236 	EXP 	PLUS_FP: autoDraw = False
30.2236 	EXP 	polygon: autoDraw = True
30.2236 	EXP 	Photodiode_polygon: autoDraw = True
30.2403 	EXP 	Photodiode_polygon: autoDraw = False
30.4911 	DATA 	Mouse: Left button down, pos=(778,491)
30.5070 	EXP 	PLUS_FP: autoDraw = False
30.5070 	EXP 	polygon: autoDraw = False
30.5070 	EXP 	Photodiode_polygon: autoDraw = False
30.5070 	EXP 	Photodiode_plus: autoDraw = False
30.5070 	EXP 	Photodiode_2: autoDraw = True
30.5570 	DATA 	Mouse:  Left button up, pos=(778,491)
30.8073 	EXP 	Photodiode_2: autoDraw = False
31.8911 	EXP 	New trial (rep=8, index=0): <Trial 8 (0 in rep 8) data={'thisN': 8, 'thisTrialN': 0, 'thisRepN': 8}>
31.9070 	EXP 	text: autoDraw = False
31.9070 	EXP 	Photodiode_2: autoDraw = False
31.9070 	EXP 	PLUS_FP: autoDraw = True
31.9070 	EXP 	Photodiode_plus: autoDraw = True
32.1069 	EXP 	Photodiode_plus: autoDraw = False
33.8906 	EXP 	PLUS_FP: autoDraw = False
33.8906 	EXP 	polygon: autoDraw = True
33.8906 	EXP 	Photodiode_polygon: autoDraw = True
33.9071 	EXP 	Photodiode_polygon: autoDraw = False
34.1412 	DATA 	Mouse: Left button down, pos=(777,493)
34.1570 	EXP 	PLUS_FP: autoDraw = False
34.1570 	EXP 	polygon: autoDraw = False
34.1570 	EXP 	Photodiode_polygon: autoDraw = False
34.1570 	EXP 	Photodiode_plus: autoDraw = False
34.1570 	EXP 	Photodiode_2: autoDraw = True
34.2236 	DATA 	Mouse:  Left button up, pos=(777,491)
34.4569 	EXP 	Photodiode_2: autoDraw = False
35.6920 	EXP 	New trial (rep=9, index=0): <Trial 9 (0 in rep 9) data={'thisN': 9, 'thisTrialN': 0, 'thisRepN': 9}>
35.7071 	EXP 	text: autoDraw = False
35.7071 	EXP 	Photodiode_2: autoDraw = False
35.7071 	EXP 	PLUS_FP: autoDraw = True
