thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,AVG.started,Photodiode_plus.started,Photodiode_plus.stopped,PLUS_FP.stopped,polygon.started,Photodiode_polygon.started,Photodiode_polygon.stopped,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Photodiode_2.stopped,Intertrial_Period.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
19,0,19,[-0.42314814814814816],[0.1],[1],[0],[0],[1.1505160005763173],0,0,0,0,19,0,19,0,138.38631450012326,,,,,,,,,,,,138.37079180032015,138.38631450012326,0.000291699543595314,138.38631450012326,138.38631450012326,138.5865388000384,,,,,139.52216180041432,2,normal,-0.8494839994236827,[-0.42314814814814816],[0.1],[1],[0],[0],[1.1505160005763173],139.52256800048053,139.5371168004349,139.83752810023725,141.0059781000018,139.5371168004349,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
20,0,20,[-0.42314814814814816],[0.1],[1],[0],[0],[1.9179817996919155],0,0,0,0,20,0,20,0,141.021936500445,,,,,,,,,,,,141.00625940039754,141.021936500445,0.0002956995740532875,141.021936500445,141.021936500445,141.22218170017004,141.50589579995722,141.50589579995722,141.50589579995722,141.52245279960334,142.92497619986534,0.5,normal,1.4179817996919155,[-0.42314814814814816],[0.1],[1],[0],[0],[1.9179817996919155],142.92537569999695,142.94020580034703,143.2402774002403,144.42548479977995,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
21,0,21,[-0.4212962962962963],[0.09444444444444444],[1],[0],[0],[25.337343100458384],0,0,0,0,21,0,21,0,144.4413794996217,,,,,,,,,,,,144.4257286004722,144.4413794996217,0.00026139989495277405,144.4413794996217,144.4413794996217,144.64177380036563,146.42643909994513,146.42643909994513,146.42643909994513,146.44316359981894,169.76383540034294,2,normal,23.337343100458384,[-0.4212962962962963],[0.09444444444444444],[1],[0],[0],[25.337343100458384],169.76433570031077,169.77917139977217,170.07944849971682,170.98063430003822,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
22,0,22,[0.023148148148148147],[0.09351851851851851],[1],[0],[0],[0.7010303996503353],0,0,0,0,22,0,22,0,170.99665290024132,,,,,,,,,,,,170.9809191999957,170.99665290024132,0.00029740016907453537,170.99665290024132,170.99665290024132,171.19707959983498,171.4803672004491,171.4803672004491,171.4803672004491,171.4970581997186,171.682636000216,0.5,normal,0.2010303996503353,[0.023148148148148147],[0.09351851851851851],[1],[0],[0],[0.7010303996503353],171.68294959980994,171.6974298004061,171.9979654001072,172.9656314998865,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
23,0,23,[-0.03611111111111111],[0.25],[1],[0],[0],[0.2503348998725414],0,0,0,0,23,0,23,0,172.98173539992422,,,,,,,,,,,,172.96590940002352,172.98173539992422,0.0002926001325249672,172.98173539992422,172.98173539992422,173.18196179997176,,,,,173.21728449966758,0.5,normal,-0.24966510012745857,[-0.03611111111111111],[0.25],[1],[0],[0],[0.2503348998725414],173.21778209973127,173.2321953997016,173.53258019965142,173.7163589997217,173.2321953997016,173.73254420049489,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
24,0,24,[-0.06666666666666667],[0.43148148148148147],[1],[0],[0],[1.567951399832964],0,0,0,0,24,0,24,0,173.73254420049489,,,,,,,,,,,,173.71659720037133,173.73254420049489,0.0002533998340368271,173.73254420049489,173.73254420049489,173.9326146999374,,,,,175.2853071000427,2,normal,-0.43204860016703606,[-0.06666666666666667],[0.43148148148148147],[1],[0],[0],[1.567951399832964],175.2859255997464,175.2999146003276,175.60075800027698,176.5018862001598,175.2999146003276,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
25,0,25,[0.019444444444444445],[0.4148148148148148],[1],[0],[0],[1.0341056007891893],0,0,0,0,25,0,25,0,176.51813630014658,,,,,,,,,,,,176.50207240041345,176.51813630014658,0.00019690021872520447,176.51813630014658,176.51813630014658,176.71824570000172,177.00200259964913,177.00200259964913,177.00200259964913,177.01864940021187,177.53682710044086,0.5,normal,0.5341056007891893,[0.019444444444444445],[0.4148148148148148],[1],[0],[0],[1.0341056007891893],177.5371385999024,177.55210180021822,177.85252240020782,178.75422360002995,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
26,0,26,[0.019444444444444445],[0.4148148148148148],[1],[0],[0],[1.150573099963367],0,0,0,0,26,0,26,0,178.76995769981295,,,,,,,,,,,,178.75453250017017,178.76995769981295,0.00031880009919404984,178.76995769981295,178.76995769981295,178.97010129969567,179.2537783002481,179.2537783002481,179.2537783002481,179.27026289980859,179.9059570003301,0.5,normal,0.650573099963367,[0.019444444444444445],[0.4148148148148148],[1],[0],[0],[1.150573099963367],179.9065500004217,179.92127650044858,180.2213858999312,181.5062375999987,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
27,0,27,[0.022222222222222223],[0.41944444444444445],[1],[0],[0],[0.9002914996817708],0,0,0,0,27,0,27,0,181.52210339996964,,,,,,,,,,,,181.50654810015112,181.52210339996964,0.0003289002925157547,181.52210339996964,181.52210339996964,181.7223127996549,182.00592849962413,182.00592849962413,182.00592849962413,182.02258449979126,182.4075512001291,0.5,normal,0.4002914996817708,[0.022222222222222223],[0.41944444444444445],[1],[0],[0],[0.9002914996817708],182.40792839974165,182.42205980047584,182.72255160007626,183.89150390028954,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
28,0,28,[-0.2212962962962963],[0.4462962962962963],[1],[0],[0],[2.5019373996183276],0,0,0,0,28,0,28,0,183.90749670006335,,,,,,,,,,,,183.8917629001662,183.90749670006335,0.0002830997109413147,183.90749670006335,183.90749670006335,184.10722609981894,185.1088471999392,185.1088471999392,185.1088471999392,185.12531980033964,186.39455030020326,1.218188681721489,surprise,1.2837487178968385,[-0.2212962962962963],[0.4462962962962963],[1],[0],[0],[2.5019373996183276],186.39498890005052,186.4091860000044,186.70986790023744,187.77834099996835,,,192905,001,2024-11-15_14h23.00.800,Foreperiod_task,2024.2.1post4,59.9575742279025,2024-11-15 14h23.05.970879 -0800,
