thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_Screen.started,Welcome_Text.started,mouse_2.started,Welcome_Screen.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Trial_2.started,PLUS_FP.started,mouse.started,AVG.started,PLUS_FP.stopped,polygon.started,Trial_2.stopped,FixDur,Type,RT,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,Intertrial_Period.started,Photodiode_2.started,Intertrial_Period.stopped,Photodiode_2.stopped,BREAK.started,Instructions.started,key_resp_5.started,BREAK.stopped,trials_3.key_resp_5.keys,trials_3.key_resp_5.rt,trials_3.key_resp_5.duration,text.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
43,0,43,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[0.9670933997258544],,,,0,0,0,0,43,0,43,0,145.47386190015823,,,,,,,,,,,,145.45832230057567,145.47386190015823,0.00030960049480199814,145.47386190015823,145.9577232999727,145.9577232999727,146.42616240028292,0.5,normal,0.4670933997258544,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[0.9670933997258544],146.42659370042384,146.4413047004491,148.04409010056406,146.94171680044383,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
44,0,44,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[0.9164585005491972],,,,0,0,0,0,44,0,44,0,148.05938690062612,,,,,,,,,,,,148.0443836003542,148.05938690062612,0.0003033000975847244,148.05938690062612,148.55987310037017,148.55987310037017,148.96164260059595,0.5,normal,0.4164585005491972,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[0.9164585005491972],148.9620812004432,148.9766535004601,150.19521229993552,149.477199700661,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
45,0,45,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[0.833607199601829],,,,0,0,0,0,45,0,45,0,150.21110269986093,,,,,,,,,,,,150.19555009994656,150.21110269986093,0.00033430010080337524,150.21110269986093,150.69510430004448,150.69510430004448,151.03003619983792,0.5,normal,0.33360719960182905,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[0.833607199601829],151.03046790044755,151.04520480055362,152.497111200355,151.5455996003002,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
46,0,46,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[2.300567999482155],,,,0,0,0,0,46,0,46,0,152.51310180034488,,,,,,,,,,,,152.49743450060487,152.51310180034488,0.0003223000094294548,152.51310180034488,154.49780130013824,154.49780130013824,154.79863550048321,2,normal,0.30056799948215485,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[2.300567999482155],154.79907060042024,154.8148910002783,156.28376909997314,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
47,0,47,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[0.9005482001230121],,,,0,0,0,0,47,0,47,0,156.2996020000428,,,,,,,,,,,,156.28405840042979,156.2996020000428,0.00028849951922893524,156.2996020000428,156.78333120048046,156.78333120048046,157.18553490005434,0.5,normal,0.40054820012301207,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[0.9005482001230121],157.18608450051397,157.20029020030051,158.4020725004375,157.7001426005736,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
48,0,48,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[2.3180383993312716],,,,0,0,0,0,48,0,48,0,158.41792669985443,,,,,,,,,,,,158.4023496005684,158.41792669985443,0.00028380006551742554,158.41792669985443,160.40281290002167,160.40281290002167,160.7210616003722,2,normal,0.31803839933127165,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[2.3180383993312716],160.72144920006394,160.73655309993774,162.23847710061818,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
49,0,49,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[0.8835661998018622],,,,0,0,0,0,49,0,49,0,162.2545857001096,,,,,,,,,,,,162.23871260043234,162.2545857001096,0.0002430994063615799,162.2545857001096,162.73820170015097,162.73820170015097,163.1229073004797,0.5,normal,0.38356619980186224,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[0.8835661998018622],163.1232587005943,163.1385310003534,164.49050580058247,163.63906779978424,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
50,0,50,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[1.0505740996450186],,,,0,0,0,0,50,0,50,0,164.5065446002409,,,,,,,,,,,,164.49080570042133,164.5065446002409,0.0003064991906285286,164.5065446002409,164.99002050049603,164.99002050049603,165.54217030014843,0.5,normal,0.5505740996450186,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[1.0505740996450186],165.54257979989052,165.5574705004692,167.07590339984745,166.0576426004991,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
51,0,51,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[2.634469600394368],,,,0,0,0,0,51,0,51,0,167.0917229000479,,,,,,,,,,,,167.0762366000563,167.0917229000479,0.0003367997705936432,167.0917229000479,169.07663370016962,169.07663370016962,169.71129420027137,2,normal,0.6344696003943682,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[2.634469600394368],169.71159750036895,169.7274404000491,171.14576959982514,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
52,0,52,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[2.4852697998285294],,,,0,0,0,0,52,0,52,0,171.16179530043155,,,,,,,,,,,,171.14620430022478,171.16179530043155,0.00044209975749254227,171.16179530043155,173.14678710047156,173.14678710047156,173.6324030002579,2,normal,0.48526979982852936,[-0.03796296296296296],[0.13148148148148148],[1],[0],[0],[2.4852697998285294],173.63300160039216,173.6472875000909,174.9657120006159,,,,,,,,,,567241,001,2024-11-12_16h42.50.900,Foreperiod_task,2024.2.1post4,59.93346176876622,2024-11-12 16h42.55.329090 -0800,
